index,mycolumn
1,37.765234
2,38.382932
3,35.201833
4,35.489381
5,40.70247
6,34.261229
7,34.752322
8,35.370183
9,37.433306
10,39.748587
11,38.448481
12,33.86291
13,36.212584
14,37.380076
15,39.145678
16,39.51178
17,39.267244
18,36.67837
19,36.570842
20,37.653823
21,37.958116
22,36.327988
23,34.147285
24,39.523893
25,34.054322
26,36.599049
27,38.580783
28,32.727249
29,33.160309
30,38.619281
31,34.414293
32,38.707231
33,37.316016
34,33.76765
35,34.247844
36,37.911142
37,37.70654
38,38.682295
39,38.415891
40,33.680388
41,38.647938
42,33.380068
43,33.867394
44,34.899746
45,38.033044
46,33.979594
47,34.101325
48,34.024392
49,33.905027
50,34.869948
51,33.876947
52,34.114953
53,34.275658
54,37.842052
55,34.429742
56,40.723046
57,35.703777
58,34.138034
59,33.549694
60,34.25544
61,35.265858
62,37.682064
63,34.081696
64,34.085036
65,37.651109
66,38.060113
67,36.69937
68,40.946532
69,37.417926
70,37.067227
71,34.015433
72,35.04203
73,38.128202
74,35.420431
75,39.095492
76,38.677035
77,34.577999
78,39.760544
79,39.117885
80,34.645364
81,33.409749
82,33.041607
83,34.866252
84,33.977798
85,38.578636
86,34.096129
87,37.334613
88,37.079473
89,35.391217
90,37.050795
91,36.987256
92,38.938074
93,39.143923
94,39.328372
95,37.962758
96,34.138006
97,33.217492
98,34.530597
99,34.6093615
100,37.8012978
